strategy,scenario,games,player_1_coalition_rate,target_target_coalition_rate,no_coalition_rate,avg_player_1_payoff,avg_target_payoff,belief_events,manipulation_detected_rate,avg_player_1_trustworthiness,primary_one_rate,primary_both_rate
coalition_scarcity,balanced,15,0.5333,0.4667,0.0,60.3333,62.3333,60,0.1667,65.6667,0.2,0.8
coalition_scarcity,manipulator_advantaged,15,0.6667,0.3333,0.0,61.6667,61.6667,60,0.3167,63.75,0.2,0.8
coalition_scarcity,manipulator_disadvantaged,15,0.3333,0.6667,0.0,58.3333,64.8333,60,0.2167,69.75,0.2667,0.7333
competence_signaling,balanced,15,0.8,0.2,0.0,63.0,61.0,60,0.0333,78.9167,0.0667,0.9333
competence_signaling,manipulator_advantaged,15,0.6667,0.3333,0.0,61.6667,61.6667,60,0.0,77.1667,0.0,1.0
competence_signaling,manipulator_disadvantaged,15,0.5333,0.4667,0.0,60.3333,62.9333,60,0.0167,78.0,0.0667,0.9333
double_commitment,balanced,15,0.8,0.1333,0.0667,63.0,60.3333,60,0.0,80.9167,0.0,1.0
double_commitment,manipulator_advantaged,15,0.8667,0.1333,0.0,63.6667,61.5667,60,0.0167,78.75,0.0,1.0
double_commitment,manipulator_disadvantaged,15,0.7333,0.2667,0.0,62.3333,61.0333,60,0.0,80.75,0.0,1.0
exclusive_reassurance,balanced,15,0.4667,0.4667,0.0667,59.6667,62.0,60,0.0333,72.3333,1.0,0.0
exclusive_reassurance,manipulator_advantaged,15,0.6667,0.2667,0.0667,61.6667,61.2,60,0.0,71.5833,1.0,0.0
exclusive_reassurance,manipulator_disadvantaged,15,0.3333,0.6667,0.0,58.3333,64.8333,60,0.0167,70.5833,1.0,0.0
fake_anger,balanced,15,0.4667,0.4667,0.0667,59.6667,62.0,60,0.6333,49.5,0.28,0.72
fake_anger,manipulator_advantaged,15,0.6,0.4,0.0,61.0,61.7,60,0.5333,53.6667,0.2133,0.7867
fake_anger,manipulator_disadvantaged,15,0.2667,0.6667,0.0667,57.6667,64.6,60,0.5167,50.9167,0.32,0.68
fake_disappointment,balanced,15,0.6667,0.3333,0.0,61.6667,61.6667,60,0.1667,59.5833,0.48,0.52
fake_disappointment,manipulator_advantaged,15,0.6667,0.3333,0.0,61.6667,61.6667,60,0.25,59.9167,0.5333,0.4667
fake_disappointment,manipulator_disadvantaged,15,0.6667,0.3333,0.0,61.6667,61.6667,60,0.2667,58.5833,0.5333,0.4667
neutral_control,balanced,15,0.5333,0.4667,0.0,60.3333,62.3333,60,0.0,74.0833,0.1467,0.8533
neutral_control,manipulator_advantaged,15,0.6,0.4,0.0,61.0,61.7,60,0.0,71.75,0.0667,0.9333
neutral_control,manipulator_disadvantaged,15,0.5333,0.4667,0.0,60.3333,62.9333,60,0.0,71.9167,0.1333,0.8667
reputation_reframing,balanced,15,0.4,0.6,0.0,59.0,63.0,60,0.2833,58.1667,0.2133,0.7867
reputation_reframing,manipulator_advantaged,15,0.4,0.6,0.0,59.0,61.8,60,0.2167,57.0,0.2533,0.7467
reputation_reframing,manipulator_disadvantaged,15,0.5333,0.4667,0.0,60.3333,62.9333,60,0.2167,57.0833,0.24,0.76
