section,name,games,manipulator_success_rate_pct,target_target_rate_pct,no_coalition_rate_pct,avg_manipulator_payoff,avg_target_payoff,manipulation_detected_rate_pct,avg_trustworthiness
overall,all,360,57.22,41.39,1.39,60.722,62.225,16.25,67.097
scenario,balanced,120,58.33,39.17,2.5,60.833,61.833,16.46,67.396
scenario,manipulator_advantaged,120,64.17,35.0,0.83,61.417,61.621,16.67,66.698
scenario,manipulator_disadvantaged,120,49.17,50.0,0.83,59.917,63.221,15.62,67.198
strategy,coalition_scarcity,45,51.11,48.89,0.0,60.111,62.944,23.33,66.389
strategy,competence_signaling,45,66.67,33.33,0.0,61.667,61.867,1.67,78.028
strategy,double_commitment,45,80.0,17.78,2.22,63.0,60.978,0.56,80.139
strategy,exclusive_reassurance,45,48.89,46.67,4.44,59.889,62.678,1.67,71.5
strategy,fake_anger,45,44.44,51.11,4.44,59.444,62.767,56.11,51.361
strategy,fake_disappointment,45,66.67,33.33,0.0,61.667,61.667,22.78,59.361
strategy,neutral_control,45,55.56,44.44,0.0,60.556,62.322,0.0,72.583
strategy,reputation_reframing,45,44.44,55.56,0.0,59.444,62.578,23.89,57.417
