experiment,group,metric,n_episodes,estimate,ci_low,ci_high
negotiation,fake_anger,agreement_rate,60,0.883333,0.800000,0.966667
negotiation,fake_anger,mean_rounds,60,8.866667,8.400000,9.300000
negotiation,fake_anger,manipulator_payoff,60,44.083333,39.316667,48.133333
negotiation,fake_anger,victim_payoff,60,43.083333,38.433333,47.233333
negotiation,fake_anger,offer_change,60,-3.616667,-5.183333,-2.166667
negotiation,fake_confidence,agreement_rate,60,1.000000,1.000000,1.000000
negotiation,fake_confidence,mean_rounds,60,7.116667,6.583333,7.650000
negotiation,fake_confidence,manipulator_payoff,60,50.500000,49.966667,51.033333
negotiation,fake_confidence,victim_payoff,60,49.500000,48.950000,50.050000
negotiation,fake_confidence,offer_change,60,0.416667,0.100000,0.733750
negotiation,fake_disappointment,agreement_rate,60,1.000000,1.000000,1.000000
negotiation,fake_disappointment,mean_rounds,60,7.933333,7.400000,8.450000
negotiation,fake_disappointment,manipulator_payoff,60,48.083333,47.216667,48.883333
negotiation,fake_disappointment,victim_payoff,60,51.916667,51.100000,52.750000
negotiation,fake_disappointment,offer_change,60,3.616667,2.383333,4.850000
negotiation,fake_urgency,agreement_rate,60,0.983333,0.950000,1.000000
negotiation,fake_urgency,mean_rounds,60,7.750000,7.216667,8.266667
negotiation,fake_urgency,manipulator_payoff,60,49.900000,47.683333,51.266667
negotiation,fake_urgency,victim_payoff,60,48.266667,46.100000,49.616667
negotiation,fake_urgency,offer_change,60,-7.733333,-9.083333,-6.383333
negotiation,neutral_control,agreement_rate,60,1.000000,1.000000,1.000000
negotiation,neutral_control,mean_rounds,60,6.800000,6.266667,7.333333
negotiation,neutral_control,manipulator_payoff,60,49.966667,49.266667,50.616667
negotiation,neutral_control,victim_payoff,60,50.033333,49.400000,50.733333
negotiation,neutral_control,offer_change,60,3.620690,2.719298,4.526316
trust,fake_anger,mean_investment,48,59.637500,53.091458,65.983385
trust,fake_anger,mean_return,48,91.441667,76.172292,106.971354
trust,fake_anger,manipulator_round_payoff,48,87.470833,79.681198,95.235573
trust,fake_anger,victim_round_payoff,48,131.804167,122.405990,142.100312
trust,fake_anger,high_investment_exploitation_rate,48,0.068750,0.036745,0.112732
trust,fake_anger,detection_rate,48,0.250000,0.158333,0.350000
trust,fake_anger,trustworthiness,48,59.665272,54.432370,64.896319
trust,fake_disappointment,mean_investment,48,80.012500,77.331198,82.200104
trust,fake_disappointment,mean_return,48,118.079167,110.385417,125.773021
trust,fake_disappointment,manipulator_round_payoff,48,121.958333,116.826979,126.431354
trust,fake_disappointment,victim_round_payoff,48,138.066667,132.414583,144.060417
trust,fake_disappointment,high_investment_exploitation_rate,48,0.006397,0.000000,0.014614
trust,fake_disappointment,detection_rate,48,0.016667,0.000000,0.037500
trust,fake_disappointment,trustworthiness,48,70.125523,66.407416,73.828452
trust,fake_guilt,mean_investment,48,70.416667,66.643750,74.033333
trust,fake_guilt,mean_return,48,98.114583,88.651979,108.435469
trust,fake_guilt,manipulator_round_payoff,48,113.135417,107.012083,118.768958
trust,fake_guilt,victim_round_payoff,48,127.697917,121.147292,135.258333
trust,fake_guilt,high_investment_exploitation_rate,48,0.206818,0.148472,0.269233
trust,fake_guilt,detection_rate,48,0.158333,0.091667,0.233333
trust,fake_guilt,trustworthiness,48,65.761506,62.020729,69.500000
trust,false_reliability,mean_investment,48,62.550000,59.468750,65.818854
trust,false_reliability,mean_return,48,77.487500,68.608281,87.764688
trust,false_reliability,manipulator_round_payoff,48,110.162500,106.354167,114.170885
trust,false_reliability,victim_round_payoff,48,114.937500,108.714271,121.927240
trust,false_reliability,high_investment_exploitation_rate,48,0.281991,0.236235,0.326923
trust,false_reliability,detection_rate,48,0.058333,0.016667,0.108333
trust,false_reliability,trustworthiness,48,68.510460,64.974893,71.933152
trust,neutral_control,mean_investment,48,74.818750,71.870833,77.620937
trust,neutral_control,mean_return,48,94.483333,88.360365,100.435573
trust,neutral_control,manipulator_round_payoff,48,129.972917,125.970781,133.829219
trust,neutral_control,victim_round_payoff,48,119.664583,116.060365,123.389583
trust,neutral_control,high_investment_exploitation_rate,48,0.025696,0.008493,0.046460
trust,neutral_control,detection_rate,48,0.000000,0.000000,0.000000
trust,neutral_control,trustworthiness,48,78.114407,75.404255,80.635661
trust,reality_reframing,mean_investment,48,62.485417,56.514583,68.106250
trust,reality_reframing,mean_return,48,81.472917,70.395313,92.621146
trust,reality_reframing,manipulator_round_payoff,48,105.983333,98.158281,113.387552
trust,reality_reframing,victim_round_payoff,48,118.987500,113.197708,125.331354
trust,reality_reframing,high_investment_exploitation_rate,48,0.082873,0.044008,0.136808
trust,reality_reframing,detection_rate,48,0.004167,0.000000,0.012500
trust,reality_reframing,trustworthiness,48,74.894958,72.050209,77.478996
trust,stable_reassurance,mean_investment,48,81.814583,80.695781,82.854219
trust,stable_reassurance,mean_return,48,110.743750,107.668698,113.737552
trust,stable_reassurance,manipulator_round_payoff,48,134.700000,132.456250,136.872969
trust,stable_reassurance,victim_round_payoff,48,128.929167,126.518698,131.258385
trust,stable_reassurance,high_investment_exploitation_rate,48,0.000000,0.000000,0.000000
trust,stable_reassurance,detection_rate,48,0.004167,0.000000,0.012500
trust,stable_reassurance,trustworthiness,48,83.083333,81.187500,84.979167
coalition,coalition_scarcity,coalition_with_manipulator_rate,45,0.511111,0.355556,0.666667
coalition,coalition_scarcity,target_target_coalition_rate,45,0.488889,0.355556,0.622222
coalition,coalition_scarcity,player_1_payoff,45,60.111111,58.555556,61.666667
coalition,coalition_scarcity,detection_rate,45,0.233333,0.150000,0.322222
coalition,coalition_scarcity,trustworthiness,45,66.388889,63.611111,68.944444
coalition,competence_signaling,coalition_with_manipulator_rate,45,0.666667,0.533333,0.800000
coalition,competence_signaling,target_target_coalition_rate,45,0.333333,0.200000,0.466667
coalition,competence_signaling,player_1_payoff,45,61.666667,60.333333,63.000000
coalition,competence_signaling,detection_rate,45,0.016667,0.000000,0.038889
coalition,competence_signaling,trustworthiness,45,78.027778,76.833333,79.166667
coalition,double_commitment,coalition_with_manipulator_rate,45,0.800000,0.688889,0.911111
coalition,double_commitment,target_target_coalition_rate,45,0.177778,0.066667,0.288889
coalition,double_commitment,player_1_payoff,45,63.000000,61.883333,64.111111
coalition,double_commitment,detection_rate,45,0.005556,0.000000,0.016667
coalition,double_commitment,trustworthiness,45,80.138889,79.111111,81.055556
coalition,exclusive_reassurance,coalition_with_manipulator_rate,45,0.488889,0.333333,0.644444
coalition,exclusive_reassurance,target_target_coalition_rate,45,0.466667,0.311111,0.600000
coalition,exclusive_reassurance,player_1_payoff,45,59.888889,58.555556,61.444444
coalition,exclusive_reassurance,detection_rate,45,0.016667,0.000000,0.044444
coalition,exclusive_reassurance,trustworthiness,45,71.500000,70.555556,72.361111
coalition,fake_anger,coalition_with_manipulator_rate,45,0.444444,0.311111,0.600000
coalition,fake_anger,target_target_coalition_rate,45,0.511111,0.377778,0.666667
coalition,fake_anger,player_1_payoff,45,59.444444,57.888889,61.000000
coalition,fake_anger,detection_rate,45,0.561111,0.438889,0.683333
coalition,fake_anger,trustworthiness,45,51.361111,47.444444,55.111806
coalition,fake_disappointment,coalition_with_manipulator_rate,45,0.666667,0.533333,0.800000
coalition,fake_disappointment,target_target_coalition_rate,45,0.333333,0.200000,0.466667
coalition,fake_disappointment,player_1_payoff,45,61.666667,60.333333,63.000000
coalition,fake_disappointment,detection_rate,45,0.227778,0.155556,0.311111
coalition,fake_disappointment,trustworthiness,45,59.361111,56.083333,62.556250
coalition,neutral_control,coalition_with_manipulator_rate,45,0.555556,0.400000,0.689444
coalition,neutral_control,target_target_coalition_rate,45,0.444444,0.311111,0.600000
coalition,neutral_control,player_1_payoff,45,60.555556,59.000000,61.888889
coalition,neutral_control,detection_rate,45,0.000000,0.000000,0.000000
coalition,neutral_control,trustworthiness,45,72.583333,71.222222,73.972222
coalition,reputation_reframing,coalition_with_manipulator_rate,45,0.444444,0.288889,0.600000
coalition,reputation_reframing,target_target_coalition_rate,45,0.555556,0.400000,0.688889
coalition,reputation_reframing,player_1_payoff,45,59.444444,58.111111,60.777778
coalition,reputation_reframing,detection_rate,45,0.238889,0.150000,0.333333
coalition,reputation_reframing,trustworthiness,45,57.416667,54.194444,60.638889
