experiment,strategy,round,n_moves,primary_target_player2_rate,primary_target_player3_rate,primary_target_both_rate,belief_trustworthiness_mean,belief_detect_rate,belief_choose_me_prob_mean
coalition,coalition_scarcity,1,45,0.0889,0.1333,0.7778,0.0,0.0,0.0
coalition,coalition_scarcity,2,45,0.0667,0.1556,0.7778,0.0,0.0,0.0
coalition,coalition_scarcity,3,45,0.0667,0.1556,0.7778,0.0,0.0,0.0
coalition,coalition_scarcity,4,45,0.0889,0.1333,0.7778,0.0,0.0,0.0
coalition,coalition_scarcity,5,45,0.0889,0.1333,0.7778,66.0556,0.2444,0.6706
coalition,competence_signaling,1,45,0.0444,0.0,0.9556,0.0,0.0,0.0
coalition,competence_signaling,2,45,0.0444,0.0,0.9556,0.0,0.0,0.0
coalition,competence_signaling,3,45,0.0444,0.0,0.9556,0.0,0.0,0.0
coalition,competence_signaling,4,45,0.0444,0.0,0.9556,0.0,0.0,0.0
coalition,competence_signaling,5,45,0.0444,0.0,0.9556,77.7778,0.0,0.7011
coalition,double_commitment,1,45,0.0,0.0,1.0,0.0,0.0,0.0
coalition,double_commitment,2,45,0.0,0.0,1.0,0.0,0.0,0.0
coalition,double_commitment,3,45,0.0,0.0,1.0,0.0,0.0,0.0
coalition,double_commitment,4,45,0.0,0.0,1.0,0.0,0.0,0.0
coalition,double_commitment,5,45,0.0,0.0,1.0,80.0556,0.0,0.8308
coalition,exclusive_reassurance,1,45,0.2889,0.7111,0.0,0.0,0.0,0.0
coalition,exclusive_reassurance,2,45,0.2889,0.7111,0.0,0.0,0.0,0.0
coalition,exclusive_reassurance,3,45,0.2889,0.7111,0.0,0.0,0.0,0.0
coalition,exclusive_reassurance,4,45,0.2889,0.7111,0.0,0.0,0.0,0.0
coalition,exclusive_reassurance,5,45,0.2889,0.7111,0.0,71.6667,0.0111,0.6139
coalition,fake_anger,1,45,0.1111,0.1333,0.7556,0.0,0.0,0.0
coalition,fake_anger,2,45,0.0889,0.1778,0.7333,0.0,0.0,0.0
coalition,fake_anger,3,45,0.1778,0.1111,0.7111,0.0,0.0,0.0
coalition,fake_anger,4,45,0.1111,0.1556,0.7333,0.0,0.0,0.0
coalition,fake_anger,5,45,0.1778,0.1111,0.7111,51.3889,0.5556,0.5594
coalition,fake_disappointment,1,45,0.3111,0.2,0.4889,0.0,0.0,0.0
coalition,fake_disappointment,2,45,0.2667,0.2444,0.4889,0.0,0.0,0.0
coalition,fake_disappointment,3,45,0.2889,0.2444,0.4667,0.0,0.0,0.0
coalition,fake_disappointment,4,45,0.2889,0.2222,0.4889,0.0,0.0,0.0
coalition,fake_disappointment,5,45,0.2889,0.2222,0.4889,59.7222,0.2222,0.575
coalition,neutral_control,1,45,0.0222,0.0889,0.8889,0.0,0.0,0.0
coalition,neutral_control,2,45,0.0444,0.0667,0.8889,0.0,0.0,0.0
coalition,neutral_control,3,45,0.0444,0.0667,0.8889,0.0,0.0,0.0
coalition,neutral_control,4,45,0.0444,0.0667,0.8889,0.0,0.0,0.0
coalition,neutral_control,5,45,0.0667,0.0667,0.8667,72.6667,0.0,0.6294
coalition,reputation_reframing,1,45,0.0222,0.2444,0.7333,0.0,0.0,0.0
coalition,reputation_reframing,2,45,0.0,0.2444,0.7556,0.0,0.0,0.0
coalition,reputation_reframing,3,45,0.0,0.2222,0.7778,0.0,0.0,0.0
coalition,reputation_reframing,4,45,0.0222,0.2,0.7778,0.0,0.0,0.0
coalition,reputation_reframing,5,45,0.0222,0.2,0.7778,57.8889,0.2444,0.5617
